Property Address,Property Name,Property Type,Building Status,Submarket Cluster,Submarket Name,City,State,Zip,County Name,Year Built,Number Of Stories,Year Renovated,Number Of Parking Spaces,Parking Ratio,RBA,Max Building Contiguous Space,Smallest Available Space,Total Available Space (SF),Direct Available Space,Direct Vacant Space,Sublet Available Space,Average Weighted Rent,Percent Leased,Office Space,Building Tax Expenses,Building Operating Expenses,Sublet Services,Direct Services,Leasing Company Name,Leasing Company City State Zip,Leasing Company Phone,Leasing Company Fax,Primary Agent Name,Property Manager Name,Developer Name,Owner Name,Features,Power,Ceiling Ht,Number Of Loading Docks,Drive Ins,Column Spacing,Sprinklers,Number Of Cranes,Construction Material,Rail Lines,Heating,Sewer,Water,Gas,PropertyID,Avg Rent-Direct (Industrial),Avg Rent-Sublet (Industrial),Building Park,Days On Market,Land Area (AC),Land Area (SF),LEED Certified,Latitude,Longitude,Operational Status,Rent/SF/Yr,Rent Type,Star Rating,Typical Floor Size,Zoning,Building Class,Energy Star,Property Location,Proposed Land Use,Rent
5885 Plaza Dr,Building 1,Industrial,Existing,West County,Cypress,Cypress,CA,90630,Orange,2025,1,,285.0,1.39,204909,204909,204909,204909,204909,204909,0,-,0.0,10110.0,2024 Tax @ $3.7507/sf,2024 Tax @ $3.7507/sf,,,Cushman & Wakefield,,9499309231.0,,Rick Ellison,,Goodman Group,Goodman Group,Mezzanine,2000-4000a,"36'0""",25.0,2,50'w x 56'd,ESFR,,,,,,,,14256118,,,Goodman Commerce Center Cypress,0,18.74,816314.0,,33.8054079,-118.0321067,,$12.40 - 15.16 (Est.),,4,204909,PC-3,A,,,,15.16
1 Middleton Way,Bldg 1 - Napa Logistics Park,Industrial,Existing,Napa County,Napa County,American Canyon,CA,94503,Napa,2016,1,,526.0,0.51,646000,646000,646000,646000,646000,646000,0,-,0.0,9643.0,2024 Tax @ $1.7547/sf,2024 Tax @ $1.7547/sf,,,EQT Real Estate,,2063104229.0,,Chad Rawlings,,"Divco West Services, LLC",EQT Real Estate,,5000a/277-480v,"32'0""",150.0,"8/12'0""w x 14'0""h",50'w x 52'd,ESFR,,Reinforced Concrete,California Northern Railroad,,,,,6808921,,,Napa Logistics Park,0,38.7,1685772.0,,38.2046757,-122.2644144,,$12.74 - 15.58 (Est.),,4,646000,GI,A,,Devlin Rd near South Kelly,,15.58
5070 Yosemite Ave,Building 5,Industrial,Existing,San Joaquin County,Manteca,Lathrop,CA,95330,San Joaquin,2022,1,,,0.0,266309,266309,266309,266309,266309,266309,0,-,0.0,2473.0,2024 Tax @ $1.5530/sf,2024 Tax @ $1.5530/sf,,,EQT Real Estate,,2063104229.0,,Chad Rawlings,,,EQT Real Estate,Air Conditioning,4000a/277-480v 3p 4w,"32'0""",50.0,2,50'w x 52'd,ESFR,,Reinforced Concrete,,,City,City,Yes,11564762,,,Tripoint Logistics Center,0,12.5,544500.0,,37.7828448,-121.2940513,,$5.74 - 7.02 (Est.),,5,266309,IL-SL,A,,,,7.02
N 45th St W,Fox Field Commerce Center Blg 2,Industrial,Under Construction,Antelope Valley,Antelope Valley,Lancaster,CA,93536,Los Angeles,2025,1,,581.0,0.9,647327,647327,647327,647327,647327,0,0,-,0.0,,2024 Tax @ $0.0379/sf,2024 Tax @ $0.0379/sf,,,KBC Advisors,,6268258700.0,,Colin MacMillan,,NorthPoint Development,NorthPoint Development,,4800-6000a 3p,"40'0""",76.0,4,,ESFR,,Reinforced Concrete,,Yes,Yes,Yes,Yes,20307427,,,,0,38.8,1690128.0,,34.7349214,-118.2082525,,$8.34 - 10.19 (Est.),,4,647327,SP,A,,,,10.19
19972 Patterson Ave,,Industrial,Existing,Inland Empire East,Moreno Valley/Perris,Perris,CA,92570,Riverside,2021,1,,126.0,0.63,199932,199932,199932,199932,199932,0,0,-,100.0,,2024 Tax @ $2.2735/sf,2024 Tax @ $2.2735/sf,,,Colliers,,7149431609.0,,Richard Schwartz,,,Link Logistics Real Estate,"Mezzanine, Skylights, Yard, Reception, Car Charging Station",1200a/277-400v,"32'0""",28.0,2,52'w x 50'd,ESFR,,Reinforced Concrete,,,Yes,Yes,,9203615,,,,0,9.43,410771.0,,33.8308719,-117.2512151,,$7.71 - 9.43 (Est.),,5,199932,M-SC,A,,NWC Harvill Ave & Rider,,9.43
2401 E Wardlow Rd,Goodman Commerce Center Long Beach,Industrial,Under Construction,South Bay,Long Beach,Long Beach,CA,90807,Los Angeles,2025,1,,505.0,1.0,504810,504810,504810,504810,504810,0,0,-,0.0,,2024 Tax @ $1.5671/sf,2024 Tax @ $1.5671/sf,,,,,,,,,Goodman North America Management LLC,Goodman North America Management LLC,Fenced Lot,4000a,"40'0""",61.0,2,,ESFR,,,,,,,,17504225,,,,0,23.91,1041520.0,,33.8200013,-118.1619001,,$10.72 - 13.10 (Est.),,4,504810,SP-3-BP,A,,,,13.1
10681 Production Ave,Building 6,Industrial,Existing,Inland Empire West,Airport Area,Fontana,CA,92337,San Bernardino,2006,1,,646.0,0.34,1101400,200000,300,402000,0,0,402000,12.0000,100.0,5856.0,2024 Tax @ $0.9186/sf,2024 Tax @ $0.9186/sf,Triple Net,,Cubework,,,,,,"Starwood Property Trust, Inc.",Scuderia Development LLC,"24 Hour Access, Conferencing Facility, Courtyard, Fenced Lot, Front Loading, Property Manager on Site, Restaurant, Security System, Signage, Skylights, Wheelchair Accessible, Yard, Reception, Storage Space, Recessed Lighting, Fluorescent Lighting, Monument Signage, Air Conditioning",800a/277-480v,"32'0""",220.0,"4/12'0""w x 14'0""h",50'w x 52'd,ESFR,,Masonry,,,,,,1111308,,12.0,Sierra Business Park,0,45.92,2000275.0,,34.0589324,-117.429654,,$12.00,,5,1101400,M-1,A,,,,12.0
1001 Doubleday Ave,,Industrial,Existing,Inland Empire West,Airport Area,Ontario,CA,91761,San Bernardino,1988,1,,125.0,0.32,394538,374538,300,394538,0,0,394538,-,100.0,,2024 Tax @ $1.1003/sf,2024 Tax @ $1.1003/sf,,,Cubework,,8003386369.0,,Christine Wei,,,"Johnson Development Associates, Inc.","24 Hour Access, Conferencing Facility, Courtyard, Fenced Lot, Property Manager on Site, Restaurant, Security System, Signage, Skylights, Wheelchair Accessible, Yard, Reception, Storage Space, Recessed Lighting, Fluorescent Lighting, Monument Signage, Air Conditioning",600-2000a/277-480v 3p,"32'0""",25.0,"1/12'0""w x 14'0""h",,Yes,,Masonry,Union Pacific Railroad,Yes,,,,200335,,,California Commerce Center,0,16.0,696960.0,,34.054367,-117.564463,,$9.78 - 11.96 (Est.),,4,394538,"SP, Ontario",A,,,,11.96
24712 6th St,,Industrial,Existing,Inland Empire East,San Bernardino,San Bernardino,CA,92410,San Bernardino,2023,1,,120.0,0.67,179000,179000,179000,179000,179000,179000,0,-,0.0,7200.0,2024 Tax @ $3.4318/sf,2024 Tax @ $3.4318/sf,,,EQT Real Estate,,6264297910.0,,Ryan Leslie,,,EQT Real Estate,"24 Hour Access, Security System, Skylights, Yard",4000a/277-480v 3p 3w,"36'0""",39.0,"2/12'0""w x 14'0""h",,ESFR,,Reinforced Concrete,,,,,,12748980,,,,0,9.82,427759.0,,34.1115129,-117.2657822,,$7.21 - 8.81 (Est.),,4,179000,IC,A,,,,8.81
9615 Norwalk Blvd,,Industrial,Under Construction,Mid-Cities,Santa Fe Springs/La Mirada,Santa Fe Springs,CA,90670,Los Angeles,2025,1,,258.0,1.24,201571,201571,201571,201571,201571,0,0,22.2000,0.0,,2024 Tax @ $0.6327/sf,2024 Tax @ $0.6327/sf,,Triple Net,Colliers,,3103211813.0,,Michael Foley,,,"Rexford Industrial Realty, Inc.","Fenced Lot, Mezzanine, Security System, Car Charging Station",4000a/277-480v 3p 4w,"32'0""",35.0,2,52'w x 50'd,ESFR,,Reinforced Concrete,,Yes,Yes,Yes,Yes,10513683,22.2,,,0,4.63,201683.0,,33.952519,-118.0743847,,$22.20,,4,201571,M2,A,,,,22.2
12118 Bloomfield Ave,,Industrial,Existing,Mid-Cities,Santa Fe Springs/La Mirada,Santa Fe Springs,CA,90670,Los Angeles,2025,1,,170.0,1.59,107045,58967,48078,107045,107045,107045,0,20.0400,0.0,,2024 Tax @ $2.0530/sf,2024 Tax @ $2.0530/sf,,Triple Net,,,,,,,"Rexford Industrial Realty, Inc.","Rexford Industrial Realty, Inc.",Air Conditioning,3800a/277-480v 3p 4w,"32'0""",16.0,3,,ESFR,,Reinforced Concrete,,,,,,19756658,20.04,,,0,5.16,224770.0,,33.9214232,-118.063428,,$20.04,,5,107045,SSM2BP,A,,,,20.04
1367 Sherborn St,Corona Lakeside Logistics Center 2,Industrial,Existing,Inland Empire East,Corona/Eastvale,Corona,CA,92879,Riverside,2023,1,,351.0,1.71,205074,727799,205074,205074,205074,205074,0,12.6000,0.0,7448.0,2023 Tax @ $3.0884/sf,2023 Tax @ $3.0884/sf,,Triple Net,Colliers,,7149431609.0,,Richard Schwartz,Emerald Real Estate Partners,,Ares Management Corp,"Mezzanine, Yard",4000a/480v,"36'0""",35.0,3,60'w x 56'd,ESFR,,,,,,,,12784745,12.6,,Corona Lakeside Logistics Center,0,10.2,444312.0,,33.8642954,-117.5300355,,$12.60,,4,205074,M1,A,,,,12.6
12772 San Fernando Rd,,Industrial,Existing,San Fernando Valley,East San Ferndo Vlly,Sylmar,CA,91342,Los Angeles,2025,1,,95.0,0.66,143529,143529,143529,143529,143529,143529,0,-,0.0,,2024 Tax @ $1.5862/sf,2024 Tax @ $1.5862/sf,,,Newmark,,8189218529.0,,John DeGrinis,,Millie & Severson,"Rexford Industrial Realty, Inc.","Mezzanine, Reception, Car Charging Station",4000a/277-480v,"32'0""",25.0,2,,ESFR,,,,,,,,11564697,,,,0,4.905806,213697.0,,34.30275,-118.4600016,,$12.32 - 15.05 (Est.),,5,143529,M2,A,,,,15.05
2323 Main St,,Industrial,Existing,Airport Area,Irvine,Irvine,CA,92614,Orange,1972,1,,166.0,2.0,260850,240850,300,260850,0,0,260850,-,100.0,56250.0,2024 Tax @ $1.5232/sf,2024 Tax @ $1.5232/sf,,,Cubework,,,,,DWE Real Estate Services Inc,,Alston Team,"24 Hour Access, Atrium, Conferencing Facility, Cooler, Courtyard, Fenced Lot, Fitness Center, Floor Drains, Front Loading, Property Manager on Site, Restaurant, Security System, Signage, Skylights, Wheelchair Accessible, Yard, Reception, Storage Space, Recessed Lighting, Fluorescent Lighting, Monument Signage, Air Conditioning",400-1600a,"26'0""",19.0,"5/10'0""w x 10'0""h",,Yes,,Reinforced Concrete,,Gas,City,City,Natural,282469,,,Irvine Business Complex,0,9.78,426017.0,,33.684995,-117.845683,,$12.97 - 15.86 (Est.),,4,260850,5.1,A,,,,15.86
5091 4th St,,Industrial,Existing,Upper San Gabriel Valley,Upper San Gabriel Valley,Irwindale,CA,91706,Los Angeles,2001,1,,198.0,0.34,589171,91178,91178,91178,91178,91178,0,15.9600,84.52,,2024 Tax @ $0.6769/sf,2024 Tax @ $0.6769/sf,,Triple Net,Cushman & Wakefield,,9099424678.0,,Philip Lombardo,,Trammell Crow Company,Clarion Partners,"Fenced Lot, Skylights",3000-4000a/277-480v 3p 4w,"32'0""",59.0,"2/9'0""w x 10'0""h",,ESFR,,Reinforced Concrete,,,,,,516299,15.96,,Irwindale Business Center,0,15.01,653836.0,,34.1045461,-117.9395403,,$15.96,,4,589171,M,A,,,,15.96
3359-3389 E 50th St,,Industrial,Existing,Central Los Angeles,Vernon,Vernon,CA,90058,Los Angeles,1965,1,2023.0,112.0,0.81,137402,137402,137402,137402,137402,137402,0,13.2000,0.0,,2024 Tax @ $1.7437/sf,2024 Tax @ $1.7437/sf,,Triple Net,CBRE,,3103634799.0,,Cameron Merrill,,,In Y Noh,"Fenced Lot, Skylights, Yard",1000a/240v 3p,"26'0""",16.0,"1/11'0""w x 12'0""h",,ESFR,,Reinforced Concrete,L A Junction Railway,,,,,277964,13.2,,,0,4.79,208652.0,,33.999097,-118.20565,,$13.20,,4,137402,M,A,,,,13.2
2929 E 54th St,Prologis Vernon Business Center 1,Industrial,Existing,Central Los Angeles,Vernon,Vernon,CA,90058,Los Angeles,2020,1,,124.0,0.97,113952,113952,113952,113952,113952,113952,0,23.8800,0.0,10146.0,2024 Tax @ $6.4665/sf,2024 Tax @ $6.4665/sf,,Industrial Gross,Newmark,,3104912048.0,,John McMillan,"Prologis, Inc.",Prologis,"Prologis, Inc.","Skylights, Yard, Air Conditioning",4000a/277-480v 3p 4w,"36'0""",20.0,2,56'w x 60'd,ESFR,,,,,,,,10974593,23.88,,Prologis Vernon Business Center,0,5.336455,232456.0,LEED Certified - Gold,33.9947076,-118.2166383,,$23.88,,4,113952,VEM,A,,,,23.88
1320 Air Wing Rd,Building 2,Industrial,Existing,South Bay,Otay Mesa,San Diego,CA,92154,San Diego,2007,1,,184.0,1.18,155000,52400,52400,52400,0,0,52400,10.2000,100.0,,2024 Tax @ $3.6487/sf,2024 Tax @ $3.6487/sf,Triple Net,,Cushman & Wakefield,,,,,Colliers,McDonald Property Group,Oxford Properties Group,"Fenced Lot, Signage",2000a/277-480v,"32'0""",27.0,"4/12'0""w x 12'0""h",,ESFR,,Reinforced Concrete,,,,,,1419420,,10.2,Three Piper Ranch,0,9.31,405544.0,,32.572315,-116.956848,,$10.20,,4,155000,OMDD-INDUST-SUBD,A,,,,10.2
3950 Airport Dr,,Industrial,Existing,Inland Empire West,Airport Area,Ontario,CA,91761,San Bernardino,1998,1,,,,414962,200000,300,258415,0,0,258415,12.6000,100.0,,2024 Tax @ $0.6296/sf,2024 Tax @ $0.6296/sf,Triple Net,,,,,,,,,TIAA,"24 Hour Access, Conferencing Facility, Courtyard, Fenced Lot, Property Manager on Site, Restaurant, Security System, Signage, Skylights, Wheelchair Accessible, Yard, Reception, Storage Space, Recessed Lighting, Monument Signage, Air Conditioning",1200a/277-480v 3p 4w,"30'0""",40.0,"9/10'0""w x 12'0""h",,ESFR,,Masonry,,,,,,196684,,12.6,,0,20.14,877298.0,,34.059485,-117.56633,,$12.60,,4,414962,M-2,A,,,,12.6
3525 E Airport Dr,,Industrial,Existing,Inland Empire West,Airport Area,Ontario,CA,91761,San Bernardino,2024,1,,162.0,0.8,201842,201842,201842,201842,201842,0,0,14.4000,100.0,,2024 Tax @ $1.3474/sf,2024 Tax @ $1.3474/sf,,Triple Net,Lee & Associates Commercial Real Estate Services,,9093732938.0,,Stephen Deverian,,VP Airport LLC,"Vogel Properties, Inc.",,2000a/277-480v,"36'0""",25.0,2,,ESFR,,,,,,,,12322248,14.4,,,0,10.56,459994.0,,34.0624105,-117.5740919,,$14.40,,4,201842,,A,,,,14.4
8151 Airway Rd,Airway Logistics Center,Industrial,Existing,South Bay,Otay Mesa,San Diego,CA,92154,San Diego,2022,1,,276.0,1.12,249634,59557,59557,59557,59557,59557,0,13.8000,76.14,,2024 Tax @ $2.3024/sf,2024 Tax @ $2.3024/sf,,Triple Net,JLL,,8584106360.0,,Joe Anderson,,,Condor Cold Storage,"Cooler, Floor Drains, Signage, USDA/FDA",6000a 3p,"32'0""",66.0,4,52'w x 60'd,ESFR,,Reinforced Concrete,,,,,,12036452,13.8,,,0,13.28,578477.0,,32.5594877,-116.9675216,,$13.80,,4,249634,OM,A,,,,13.8
20100 S Alameda St,,Industrial,Existing,South Bay,Rancho Dominguez,East Rancho Dominguez,CA,90221,Los Angeles,2023,1,,242.0,1.18,205435,205435,205435,205435,205435,205435,0,21.6000,0.0,,2024 Tax @ $0.0345/sf,2024 Tax @ $0.0345/sf,,Industrial Gross,,,,,,,,,,3000a/277-480v 3p 4w,"36'0""",30.0,2,,ESFR,,Reinforced Concrete,,Yes,Yes,Yes,Natural,13587268,21.6,,,0,9.31,405544.0,,33.8491678,-118.218302,,$21.60,,4,205435,LMC2,A,,,,21.6
1160-1190 N Anaheim Blvd,,Industrial,Existing,North County,Anaheim,Anaheim,CA,92801,Orange,2001,2,,263.0,1.35,194796,109897,54298,109897,109897,0,0,16.5600,100.0,,2024 Tax @ $0.7702/sf,2024 Tax @ $0.7702/sf,,Triple Net,Colliers,,9497245543.0,,Clyde Stauff,The O'Donnell Group,The O'Donnell Group,The O'Donnell Group,"Fenced Lot, Security System, Signage, Skylights, Yard, Air Conditioning",400-800a/277-480v 3p,"30'0""",32.0,"2/10'0""w x 10'0""h",50'w x 60'd,ESFR,,Reinforced Concrete,,,City,City,Natural,54951,16.56,,,0,8.0,348480.0,,33.850886,-117.918825,,$16.56,,4,97398,M2,A,,,,16.56
5600 Argosy Cir,Bldg A,Industrial,Existing,West County,Huntington Beach,Huntington Beach,CA,92649,Orange,1980,1,,1700.0,1.0,426235,223406,10000,338084,328084,0,10000,13.2000,100.0,10141.0,2024 Tax @ $1.4627/sf,2024 Tax @ $1.4627/sf,Industrial Gross,Triple Net,CBRE,,7143719210.0,,Brad Bierbaum,Sares-Regis Group,Sares-Regis Group,Sares-Regis Group,"Fenced Lot, Signage, Skylights",800-2000a/277-480v 3p 4w,"35'0""",32.0,"8/12'0""w x 14'0""h",40'w x 60'd,ESFR,,Masonry,,Yes,City,City,,284336,,13.2,West County Commerce Ctr,0,28.0,1219680.0,,33.7407173,-118.0300315,,$13.20,,4,426235,M1-A,A,,,,13.2
6700-6750 Artesia Blvd,Bldg 1,Industrial,Existing,North County,Buena Park,Buena Park,CA,90620,Orange,1999,1,,361.0,0.8,447055,447055,172967,447055,447055,447055,0,20.1600,0.0,12947.0,2024 Tax @ $1.4011/sf,2024 Tax @ $1.4011/sf,,Single Net,CBRE,,7143719233.0,,Ben Seybold,Prologis,Prologis,New York State Common Retirement Fund,"Fenced Lot, Skylights",4000a/277-480v 3p 4w,"30'0""",68.0,"2/12'0""w x 14'0""h",52'w x 50'd,ESFR,,Reinforced Concrete,,Yes,City,City,,772039,20.16,,Mid-Counties Dist Center,0,19.53,850727.0,,33.871265,-118.016308,,$20.16,,4,447055,MH,A,,,,20.16
16627 Avalon Blvd,Bldg 1,Industrial,Existing,South Bay,West Rancho Dominguez,Carson,CA,90746,Los Angeles,2023,1,,76.0,0.67,113470,113470,113470,113470,113470,113470,0,19.8000,0.0,,2024 Tax @ $1.8539/sf,2024 Tax @ $1.8539/sf,,Triple Net,,,,,,,,CenterPoint Properties,Skylights,2000a/480v 3p 4w,"32'0""",23.0,"1/10'0""w x 12'0""h",,ESFR,,Reinforced Concrete,,,,,,271744,19.8,,,0,6.7,291852.0,,33.88034,-118.265738,,$19.80,,4,113470,CAML,A,,,,19.8
29125 Avenue Paine,,Industrial,Existing,Santa Clarita Valley,Santa Clarita Valley,Valencia,CA,91355,Los Angeles,2001,1,,317.0,1.8,176107,176107,176107,176107,176107,0,0,19.8000,100.0,6376.0,2024 Tax @ $3.3373/sf,2024 Tax @ $3.3373/sf,,Triple Net,,,,,,,Sheridan Ebbert Development,"Rexford Industrial Realty, Inc.",Air Conditioning,1600a/277-480v 3p 4w,"30'0""",18.0,"4/12'0""w x 14'0""h",,ESFR,,Masonry,,,,,,653746,19.8,,Valencia Commerce Center,0,9.0,392040.0,,34.4475255,-118.6300955,,$19.80,,4,176107,LCM1.5,A,,,,19.8
